rsi,rsi_umbral,rsi_distancia,rsi_distancia_rel,volatilidad,tp_pct,sl_pct,tp_sl_ratio,vol_tp_interac,spread_tp_sl,log_precio,monto,es_btc,es_eth,hora,mes,es_ny_night,ganancia_neta,target
39.2,40.0,0.7999999999999972,0.019999999999999928,11.19,5.0,9.523878915053995,0.524996174835519,55.949999999999996,10.000076503874906,8.274196361523094,5.0,0,1,17,10,0,-0.07,0
34.5,40.0,5.5,0.1375,11.14,5.0,9.52401913313965,0.5249884455399787,55.7,10.000231094540766,8.26732314808042,5.0,0,1,23,10,1,0.04,1
31.1,40.0,8.899999999999999,0.22249999999999998,6.27,5.0,9.523740653428403,0.5250037965072133,31.349999999999998,9.999924070432265,8.28173158339699,5.0,0,1,17,10,0,0.02,1
29.5,40.0,10.5,0.2625,6.26,5.0,9.523786699770653,0.525001258178158,31.299999999999997,9.999974836500162,8.287530939464911,5.0,0,1,18,10,0,-0.0,0
36.1,40.0,3.8999999999999986,0.09749999999999996,6.32,5.0,9.52360487354149,0.5250112815884472,31.6,9.999774373321904,8.291268275691644,5.0,0,1,22,10,1,0.04,1
30.1,40.0,9.899999999999999,0.24749999999999997,6.14,4.91,9.45016548846741,0.519567620904836,30.147399999999998,9.91459425180388,8.263366180670607,5.0,0,1,4,10,1,-0.03,0
12.2,30.0,17.8,0.5933333333333334,3.97,3.18,6.923918588264932,0.4592774971949631,12.624600000000001,7.143753245565805,11.591429851572856,5.0,1,0,5,10,1,0.02,1
36.5,40.0,3.5,0.0875,5.48,4.39,8.99302263328673,0.48815622722341157,24.0572,9.387600543194408,8.250411183072199,5.0,0,1,20,10,0,0.02,1
32.6,40.0,7.399999999999999,0.18499999999999997,5.42,4.33,8.944637186875227,0.4840889473251702,23.4686,9.332126780113349,8.271796362413646,5.0,0,1,18,10,0,0.01,1
37.7,40.0,2.299999999999997,0.057499999999999926,5.32,4.26,8.880388104764837,0.4797087638224129,22.6632,9.258556537196965,8.275511363177948,5.0,0,1,19,10,0,-0.02,0
33.9,40.0,6.100000000000001,0.15250000000000002,4.95,3.96,8.56509148010689,0.46234182194053813,19.602,8.904039914745196,8.325742086834518,5.0,0,1,20,10,0,0.03,1
29.8,30.0,0.1999999999999993,0.006666666666666643,3.0,2.4,5.270316000441833,0.45538066404344596,7.199999999999999,5.396726811742928,11.643617442769127,5.0,1,0,0,10,1,0.02,1
29.6,30.0,0.3999999999999986,0.013333333333333286,3.03,2.42,5.322909058697844,0.45463861458343424,7.332599999999999,5.451886212229843,11.645604732138956,5.0,1,0,7,10,0,0.05,1
30.0,40.0,10.0,0.25,4.72,3.78,8.18803940371372,0.4616489752462066,17.8416,8.49726583703586,8.288856177390674,5.0,0,1,20,10,0,0.02,1
31.0,40.0,9.0,0.225,4.73,3.79,8.210661367494998,0.4615949715091339,17.9267,8.521640752495482,8.292858931489807,5.0,0,1,22,10,1,0.02,1
23.6,30.0,6.399999999999999,0.2133333333333333,2.56,2.05,4.510740995813823,0.4544707847119786,5.247999999999999,4.603021111414155,11.630917278830927,5.0,1,0,3,10,1,0.02,1
33.4,40.0,6.600000000000001,0.16500000000000004,4.66,3.73,8.088023365294084,0.46117572014016744,17.381800000000002,8.389597835456845,8.29748871968286,5.0,0,1,4,10,1,-0.03,0
38.4,40.0,1.6000000000000014,0.040000000000000036,4.73,3.78,8.19578841388232,0.4612124922109141,17.8794,8.505606719482303,8.284557229387428,5.0,0,1,16,10,0,0.06,1
34.1,40.0,5.899999999999999,0.14749999999999996,4.79,3.83,8.303056523812568,0.4612759155638452,18.3457,8.621200132724164,8.273311074952627,5.0,0,1,18,10,0,0.04,1
29.5,30.0,0.5,0.016666666666666666,2.94,2.36,5.1768950957080335,0.4558717061809087,6.9384,5.298812519646505,11.595198944160234,5.0,1,0,4,10,1,0.07,1
34.1,40.0,5.899999999999999,0.14749999999999996,4.88,3.9,8.45051522900473,0.46151032147886295,19.032,8.780278637119347,8.243114176422274,5.0,0,1,14,10,0,-0.04,0
29.0,40.0,11.0,0.275,4.85,3.88,8.40076384468491,0.46186276292659295,18.817999999999998,8.726586014822026,8.237706775963938,5.0,0,1,16,10,0,-0.02,0
27.2,30.0,2.8000000000000007,0.09333333333333335,3.0,2.4,5.274032674339346,0.45505975184361874,7.199999999999999,5.400624143543821,11.57624189590968,5.0,1,0,19,10,0,0.04,1
29.4,30.0,0.6000000000000014,0.02000000000000005,3.01,2.41,5.286238766233586,0.45590070872207517,7.2541,5.413423771134733,11.589031325729017,5.0,1,0,21,10,1,0.04,1
33.4,40.0,6.600000000000001,0.16500000000000004,5.03,4.03,8.676100708823453,0.4644943777452417,20.2709,9.025342315509054,8.23848143180301,5.0,0,1,22,10,1,0.04,1
34.4,40.0,5.600000000000001,0.14000000000000004,4.61,3.69,8.00261578858038,0.4610992327365732,17.0109,8.297747894636043,8.259442667261538,5.0,0,1,18,11,0,0.05,1
